Time code,PV_Output (kw) ,Load (kw) ,System price (yen / kWhalfhour)
1,0,292.072924,3.615
2,0,286.592761,3.585
3,0,267.416542,3.49
4,0,263.995714,3.48
5,0,261.543744,3.45
6,0,271.404546,3.44
7,0,282.805628,3.49
8,0,279.000744,3.41
9,0,277.861595,3.48
10,0,280.883292,3.49
11,3.264157,288.887982,3.42
12,49.291949,281.96193,3.38
13,173.552007,277.662548,3.27
14,349.702302,256.820253,3.07
15,547.30523,273.721791,2.455
16,752.55277,274.763236,2.37
17,939.77578,296.506042,2.015
18,1093.6144,312.137412,1.69
19,1219.1712,287.593391,1.65
20,1321.61858,289.878434,0.5
21,1405.72991,267.691099,0.495
22,1494.85088,263.37781,0.09
23,1507.47495,251.01847,0.25
24,1520.4373,244.52611,0.25
25,1488.7092,254.25807,0.49
26,1471.8998,256.97896,0.5
27,1417.5381,248.20341,0.5
28,1318.24522,245.805124,0.5
29,1232.52092,229.898939,1.65
30,1079.41157,228.5673,2.115
31,904.88822,230.07624,2.405
32,742.28343,228.237938,2.495
33,561.6066,229.54632,3.125
34,374.0949,232.77157,3.415
35,211.179477,243.627716,3.62
36,90.354979,263.068612,4.1
37,15.977946,289.001731,4.715
38,0.650648,350.951629,4.765
39,0.030933,365.342424,4.765
40,0,380.84897,4.765
41,0,380.112522,4.73
42,0,356.587816,4.73
43,0,362.099586,4.635
44,0,377.062125,4.3
45,0,334.617284,4.2
46,0,346.471927,4.155
47,0,333.510703,3.635
48,0,314.85917,3.605
1,0,303.135574,3.84
2,0,281.32314,3.55
3,0,261.789101,3.34
4,0,261.595997,3.34
5,0,251.468533,3.46
6,0,267.88753,3.425
7,0,286.603434,3.555
8,0,295.44119,3.555
9,0,296.568843,3.57
10,0,298.783411,3.57
11,2.894357,290.48631,3.535
12,59.99737,280.489963,3.54
13,178.040071,265.825859,3.305
14,347.837132,241.290291,3.075
15,537.91654,236.974506,2.49
16,730.53709,274.714323,2.41
17,915.86678,282.719605,2.105
18,1070.48716,305.74473,2.135
19,1210.94096,309.437479,2.095
20,1310.43672,290.288754,1.65
21,1388.14997,272.714526,0.595
22,1442.037403,272.781891,0.5
23,1453.588,259.761754,0.5
24,1489.68944,263.581115,0.5
25,1506.67155,280.037376,0.595
26,1452.59447,256.77995,0.595
27,1384.11979,255.96357,1.675
28,1246.85203,246.99959,2.02
29,1109.23229,243.248625,2.185
30,985.33503,234.66659,2.305
31,961.52767,239.36473,2.43
32,730.61696,228.41937,2.6
33,546.30655,226.247519,3.17
34,397.47938,241.48383,3.35
35,165.388261,256.732565,3.62
36,110.780703,268.954051,3.715
37,44.528018,285.726407,4.74
38,0.534738,341.047407,4.74
39,0.00807,378.296601,4.785
40,0,376.791681,4.74
41,0,371.80477,4.72
42,0,371.479093,4.68
43,0,363.927136,4.2
44,0,354.837441,3.84
45,0,353.068924,3.64
46,0,350.559922,3.63
47,0,333.930383,3.56
48,0,317.624438,3.525
1,0,303.8453,3.475
2,0,290.99105,3.32
3,0,268.885276,3.26
4,0,267.061702,3.26
5,0,248.255424,3.265
6,0,265.807041,3.265
7,0,279.29145,3.325
8,0,283.419995,3.34
9,0,274.094254,3.34
10,0,275.749901,3.3
11,0.08709,276.602757,3.27
12,5.169852,270.438412,3.19
13,15.125158,243.708169,2.99
14,10.108808,250.426148,2.69
15,18.283312,244.763998,2.545
16,106.077999,260.641084,2.555
17,89.01031,295.473069,2.605
18,93.246555,311.729536,2.815
19,264.84437,333.809258,2.71
20,101.77942,316.181305,2.45
21,353.42996,333.094774,2.395
22,158.123137,306.18535,2.36
23,22.887014,308.611989,2.225
24,259.36743,313.655176,2.325
25,246.23648,311.892298,2.185
26,172.974915,314.303881,2.185
27,114.127147,318.070507,2.37
28,122.317267,293.246975,2.45
29,104.021737,304.091641,2.59
30,78.943194,310.652038,3.075
31,52.872795,303.436419,3.335
32,60.013459,300.044186,3.375
33,96.109923,289.811548,3.675
34,53.946882,300.945896,4.2
35,32.265035,336.268907,4.705
36,10.505162,380.61828,4.705
37,4.296347,440.038214,4.92
38,0.055142,465.621211,4.92
39,0.014794,469.694848,5.02
40,0,451.05476,4.92
41,0,438.433407,4.82
42,0,433.484945,4.82
43,0,419.632911,4.68
44,0,409.856124,4.51
45,0,383.161119,3.7
46,0,366.45533,3.57
47,0,344.903233,3.525
48,0,343.953934,3.525
1,0,319.766607,3.585
2,0,288.375018,3.535
3,0,273.277843,3.465
4,0,274.265518,3.465
5,0,264.31137,3.475
6,0,258.541597,3.545
7,0,283.907107,3.575
8,0,291.62185,3.62
9,0,299.325597,3.62
10,0,289.929568,3.62
11,0.063915,284.90681,3.74
12,6.54107,327.747189,3.62
13,36.745991,329.931466,3.57
14,69.940131,351.283551,3.43
15,164.627587,381.036251,3.34
16,182.43521,362.911779,3.465
17,336.11584,336.511319,3.505
18,472.69755,324.559009,3.57
19,870.83834,288.138183,3.355
20,620.62825,264.315666,3.355
21,1398.48141,245.313135,3.075
22,1046.82627,228.332155,2.895
23,1105.98075,221.796839,2.595
24,1513.34678,222.812132,2.595
25,987.13627,225.956562,2.365
26,1250.63664,242.236021,2.23
27,1358.47304,236.7887,3.075
28,1310.88223,244.960451,3.305
29,1362.99975,232.264664,3.435
30,845.0128,237.981746,3.585
31,1130.80073,227.490208,4.205
32,798.46109,230.226781,4.205
33,616.10297,215.459497,4.665
34,404.82432,235.008031,4.665
35,205.570993,255.136262,4.81
36,91.541659,286.627803,5.01
37,19.039292,325.63471,5.045
38,1.169134,397.469777,5.085
39,0.037658,447.708231,5.045
40,0,447.550587,5.015
41,0,431.699544,4.865
42,0,409.884333,4.865
43,0,428.858974,4.8
44,0,406.471711,4.77
45,0,389.389216,4.73
46,0,375.117911,4.73
47,0,344.782065,4.51
48,0,330.113189,4.48
1,0,315.051431,3.7
2,0,288.902116,3.57
3,0,282.396542,3.745
4,0,265.143919,3.63
5,0,256.969427,3.58
6,0,272.622944,3.62
7,0,280.328782,3.75
8,0,292.403998,3.79
9,0,292.330026,4.05
10,0,294.603147,4.05
11,5.899057,304.901177,4.05
12,59.128265,315.774855,4.41
13,180.898143,335.098567,3.63
14,342.120995,357.814435,3.63
15,529.23831,358.46011,3.29
16,720.48748,338.122014,3.34
17,906.83731,311.067962,2.78
18,1057.63752,289.847302,2.88
19,1192.18451,255.078157,2.835
20,1299.8546,239.38462,2.8
21,1374.16566,225.1511,2.895
22,1424.42093,220.35547,2.9
23,1449.49092,206.959475,2.9
24,1461.19626,225.223694,2.835
25,1454.64781,234.776514,2.66
26,1424.26126,241.343996,2.66
27,1316.1302,246.738631,2.835
28,1254.05274,245.926271,3.09
29,1107.81887,222.53515,3.325
30,990.10246,228.95073,3.39
31,823.61766,234.404215,3.52
32,664.43881,224.162689,3.58
33,490.51421,215.53901,4.385
34,315.25004,231.988859,4.385
35,190.764514,253.903271,4.795
36,81.126574,289.324254,4.8
37,21.438215,336.863393,5.09
38,0.943713,395.506354,5.305
39,0.263605,431.89562,5.185
40,0,439.670938,5.07
41,0,407.332007,4.91
42,0,389.053285,4.735
43,0,417.744327,4.61
44,0,400.799392,4.51
45,0,382.510282,4.37
46,0,357.400283,4.175
47,0,341.219018,4.175
48,0,327.663993,4.175
1,0,312.195929,4.175
2,0,284.572747,3.71
3,0,255.388874,3.57
4,0,244.904131,3.425
5,0,252.481261,3.58
6,0,255.30998,3.63
7,0,274.394227,3.845
8,0,291.365811,3.89
9,0,297.096662,3.895
10,0,291.625072,3.84
11,4.02601,300.440068,3.835
12,48.841936,299.182564,3.635
13,153.390593,315.359504,3.63
14,290.45966,345.306546,3.63
15,436.84753,357.370265,3.6
16,591.90128,314.887158,3.6
17,784.22693,297.131827,3.56
18,949.53788,277.676974,3.605
19,1104.29477,255.874662,4.175
20,1224.00627,233.380676,4.175
21,1286.95164,237.96677,4.175
22,1371.41977,223.527995,4.175
23,1412.17713,229.122739,4.165
24,1410.78022,235.645501,4.115
25,1401.99956,244.35125,3.555
26,1348.56931,240.803534,3.555
27,1242.91141,241.48504,4.175
28,1216.57695,241.77176,4.535
29,1116.50506,245.83589,4.645
30,945.31368,235.575425,4.67
31,841.85287,255.952804,4.605
32,583.85244,228.93748,4.665
33,410.42501,233.38624,4.8
34,296.36178,247.62213,4.925
35,97.54809,137.425956,4.98
36,64.906813,294.96339,5.015
37,18.740898,329.73398,5.2
38,0.483237,399.2935,5.71
39,0.006725,440.954054,5.71
40,0,438.857434,5.135
41,0,405.453103,4.915
42,0,411.342491,4.875
43,0,409.921271,4.8
44,0,405.353499,4.725
45,0,379.790684,4.685
46,0,364.347094,4.59
47,0,343.470575,4.175
48,0,343.610842,4.385
1,0,315.079465,3.775
2,0,303.404345,3.58
3,0,266.729523,3.5
4,0,262.090925,3.5
5,0,262.650189,3.575
6,0,275.256519,3.575
7,0,282.525508,3.75
8,0,291.368701,3.815
9,0,283.411846,3.88
10,0,282.649581,3.88
11,3.360211,286.452608,3.63
12,30.156507,305.598939,3.575
13,87.402293,304.042931,3.54
14,198.379539,331.714288,3.54
15,271.24311,351.486889,3.405
16,311.05778,319.21362,3.43
17,390.77864,293.767886,3.32
18,390.86067,274.612255,3.49
19,181.60901,247.065418,3.505
20,561.8022,251.140498,3.505
21,1412.7153,235.153267,3.485
22,1024.16052,228.232871,3.485
23,901.45429,218.291933,3.575
24,830.16259,215.026681,3.57
25,1112.42055,241.108785,3.385
26,682.05431,248.680731,3.385
27,424.8018,235.306909,4.175
28,407.28308,231.323084,4.2
29,408.12214,223.254881,4.175
30,429.49937,232.284822,4.175
31,54.18863,16.57752,4.3
32,98.295593,232.877707,4.61
33,2.163539,229.215546,4.8
34,1.05035,278.149273,4.865
35,0.858253,319.804833,4.8
36,26.360261,341.629381,4.875
37,11.966454,398.944384,4.985
38,0.242107,427.371641,5.025
39,0.103559,437.696462,5.245
40,0,443.155814,4.97
41,0,434.794465,4.8
42,0,424.1464,4.765
43,0,410.262891,4.65
44,0,403.045735,4.175
45,0,370.677495,4.715
46,0,360.995119,4.64
47,0,350.1228,3.965
48,0,348.978283,3.805
1,0,332.984504,3.58
2,0,294.52885,3.38
3,0,289.789354,3.35
4,0,279.087839,3.35
5,0,290.642502,3.555
6,0,292.534698,3.61
7,0,295.553961,3.63
8,0,295.678939,3.815
9,0,299.52051,3.67
10,0,298.332648,3.67
11,3.358169,310.764187,3.72
12,41.035026,343.058045,3.825
13,175.829034,345.53157,3.48
14,369.283551,385.538897,3.395
15,278.291155,388.084832,3.255
16,664.17649,361.145992,3.195
17,1013.20853,324.188476,3.085
18,1201.640918,304.905344,3.085
19,1362.01901,277.026568,3.06
20,1323.2322,258.23098,2.79
21,1583.43997,252.243476,2.83
22,1626.18941,239.901208,2.51
23,1607.16598,237.335177,2.505
24,1631.78471,229.723889,2.505
25,1579.1033,236.171365,2.505
26,1505.46337,230.850826,2.505
27,1497.06582,235.426416,2.785
28,1425.86539,234.774195,3.03
29,1337.65709,226.250066,3.155
30,1211.1472,241.725984,3.35
31,1062.50805,245.22443,3.35
32,848.62372,212.988937,3.705
33,656.38137,218.757463,3.765
34,443.53379,228.340217,3.79
35,237.155021,252.630519,3.965
36,113.383482,280.343054,4.1
37,28.393884,310.650973,4.73
38,1.639064,408.037998,4.78
39,0.098179,460.5222,4.78
40,0,453.180514,4.78
41,0,459.913414,4.715
42,0,421.198079,4.41
43,0,427.48048,4.3
44,0,424.313438,4.175
45,0,412.776279,4
46,0,389.86314,3.84
47,0,366.598184,3.61
48,0,363.243034,3.6
1,0,361.883544,3.73
2,0,323.259545,3.61
3,0,293.434289,3.405
4,0,267.899798,3.405
5,0,283.561386,3.555
6,0,284.701915,3.615
7,0,288.257842,3.68
8,0,301.512255,3.68
9,0,313.880009,3.635
10,0,319.722533,3.615
11,10.135992,321.780967,3.495
12,64.034985,321.890411,3.34
13,228.774296,307.861202,3.09
14,413.890933,290.667683,2.955
15,619.97425,312.093935,2.51
16,800.9061,312.134002,2.49
17,926.75242,314.206648,2.465
18,1146.02279,345.609156,2.425
19,1280.30463,327.554871,2.415
20,1365.49998,312.678536,2.395
21,1449.7623,297.064164,2.17
22,1637.10562,278.23809,1.925
23,1459.41962,269.481229,2.165
24,1247.74503,266.124081,2.225
25,934.75612,268.456598,2.365
26,595.22212,282.108875,2.385
27,1482.53422,274.166782,2.425
28,1346.39201,247.786515,2.49
29,916.15183,248.895882,2.49
30,1305.92954,236.959586,2.51
31,410.2701,237.929562,2.53
32,752.24389,225.478087,2.88
33,688.34363,235.93617,2.93
34,418.44453,233.497656,2.8
35,342.27206,239.301085,3.535
36,60.983887,273.907766,3.695
37,35.801862,302.31413,4.67
38,1.46728,335.910752,4.74
39,0.048417,408.212802,4.74
40,0.00538,389.94317,4.685
41,0,381.285174,4.675
42,0,388.308266,4.67
43,0,390.090086,3.965
44,0,400.264188,3.965
45,0,372.93396,3.79
46,0,363.069554,3.64
47,0,357.861405,3.61
48,0,343.163216,3.735
1,0,431.367586,2.945
2,0,420.869417,2.58
3,0,390.548885,2.53
4,0,383.653092,2.53
5,0,385.358362,2.53
6,0,399.878433,2.53
7,0,392.48839,2.53
8,0,386.850259,2.53
9,0,387.135617,2.53
10,0,392.941706,2.53
11,0,434.312997,2.265
12,0.031815,456.404197,2.53
13,29.082137,510.592141,2.53
14,164.812409,555.287342,2.53
15,391.167915,586.320994,2.58
16,605.62659,532.555629,2.87
17,826.80465,440.131809,3.195
18,1021.01283,398.537573,3.245
19,1201.27103,364.817779,3.22
20,1349.04317,311.068862,3.18
21,1499.216,279.866779,3.08
22,1537.6121,253.226449,3.08
23,1583.2243,256.489288,3.105
24,1577.5477,246.634812,3.105
25,1574.7458,265.059405,2.87
26,1543.1779,270.672902,2.695
27,1467.43774,266.047733,3.155
28,1387.87438,244.390282,3.175
29,1244.8148,240.434829,3.175
30,1078.31244,238.206688,3.215
31,908.98568,236.397248,3.155
32,720.656704,225.826365,3.255
33,285.05703,228.822948,3.29
34,231.494185,240.222276,3.235
35,88.809141,279.849181,2.58
36,23.440931,335.342943,2.58
37,0.266996,414.071355,2.58
38,0.049762,494.600427,2.585
39,0,531.257946,2.87
40,0,529.647293,2.58
41,0,512.317196,2.53
42,0.00538,507.782204,2.53
43,0,503.590404,2.53
44,0,491.537561,2.53
45,0,483.54765,2.87
46,0,467.953143,2.58
47,0,447.336381,2.83
48,0,446.747421,2.58
1,0,393.232026,2.99
2,0,366.106302,2.58
3,0,336.75869,2.53
4,0,335.584328,2.53
5,0,330.070377,2.53
6,0,323.72586,2.53
7,0,332.86908,2.53
8,0,346.946121,2.325
9,0,345.786855,2.53
10,0,340.954573,2.53
11,0,370.662601,2.53
12,0,398.107055,2.53
13,11.94978,440.332765,2.53
14,135.131605,445.313999,2.53
15,314.59929,480.481258,2.58
16,496.18444,404.763639,2.875
17,736.45897,386.792432,2.63
18,412.0746,344.825451,2.875
19,967.78207,339.321789,2.925
20,1192.37007,293.063249,2.875
21,1324.95908,272.941681,2.735
22,1413.42982,259.072473,2.58
23,1377.03659,248.442524,2.58
24,1511.00607,253.771197,2.58
25,1680.48575,255.285672,2.265
26,1647.6615,267.180033,2.16
27,1512.932,259.585401,2.58
28,1034.0295,264.844079,2.67
29,1368.66603,245.20378,2.875
30,1234.34029,248.000018,2.99
31,177.889811,233.913216,2.99
32,739.61276,232.66484,3.21
33,560.032326,229.292157,3.325
34,366.909302,237.163983,3.4
35,173.233453,263.925307,3.595
36,34.421984,304.524589,4.2
37,0.468485,362.928237,4.25
38,0.094144,452.066006,4.37
39,0,461.551946,4.27
40,0,434.102969,4.27
41,0,449.300191,3.42
42,0,450.524299,3.42
43,0,455.370202,3.245
44,0,437.136811,3.18
45,0,423.96032,3.185
46,0,410.165663,3.165
47,0,387.729901,3.115
48,0,378.551749,3.1
1,0,356.553324,2.53
2,0,324.316773,2.5
3,0,314.987016,2.245
4,0,311.304745,2.17
5,0,307.90569,2.17
6,0,310.161131,2.18
7,0,326.823725,2.205
8,0,324.180873,2.205
9,0,325.323745,2.21
10,0,342.661358,2.19
11,0,362.303899,2.21
12,0,375.831755,2.18
13,0.006169,401.710332,2.5
14,1.382324,458.589858,2.25
15,1.268015,473.33142,2.53
16,0.841992,500.241579,2.53
17,57.636485,442.312814,2.53
18,157.276297,389.210757,2.53
19,861.10476,369.049635,2.265
20,1357.34005,328.96184,2.25
21,1455.9688,298.852058,2.045
22,1515.7081,259.773294,1.665
23,1540.1778,261.581141,1.135
24,1599.9575,250.679485,1.065
25,1648.0204,270.095687,0.87
26,1632.91314,266.60415,0.5
27,1564.7806,241.764964,1.05
28,1472.8076,248.739583,1.355
29,1387.62675,248.257346,1.5
30,1243.70684,237.170764,2.04
31,895.20303,231.441671,2.16
32,517.48957,243.431447,2.235
33,225.08693,236.790098,2.325
34,206.19115,256.997348,2.53
35,108.163111,298.318097,2.53
36,19.236333,381.003694,4.345
37,0.475731,457.180506,4.51
38,0.041692,486.416366,4.555
39,0,534.465627,4.5
40,0,532.392016,4.445
41,0,534.060041,4.405
42,0,563.547927,4.365
43,0,539.29898,3.675
44,0,541.432552,3.38
45,0,508.292665,3.235
46,0,483.017214,2.91
47,0,462.54779,2.58
48,0,485.124801,2.53
1,0,456.995983,2.58
2,0,427.194199,2.45
3,0,398.172314,2.235
4,0,400.95129,2.18
5,0,389.367056,2.17
6,0,399.816427,2.18
7,0,384.333785,2.25
8,0,388.443736,2.25
9,0,389.432403,2.25
10,0,391.954173,2.25
11,0,408.562399,2.25
12,0,402.530183,2.32
13,3.209868,409.90494,2.53
14,24.988664,405.792351,2.53
15,87.774269,459.928123,2.53
16,413.00403,480.087951,2.53
17,190.35255,502.024302,3.57
18,952.382674,472.642467,3.895
19,336.011834,470.472289,4.27
20,956.152048,443.602931,4.27
21,908.015002,400.510872,3.42
22,770.909968,380.475325,2.975
23,309.479483,356.956501,3.22
24,393.29087,372.644718,2.975
25,570.596079,359.840067,2.53
26,257.319352,366.90748,2.34
27,137.19282,364.058975,2.7
28,49.348896,382.21323,2.975
29,62.586027,356.236947,2.975
30,52.671317,359.224479,3.325
31,58.987093,367.66891,2.58
32,311.85419,365.534267,3.335
33,73.987441,392.872838,3.695
34,9.721017,402.529709,3.48
35,3.920364,444.715118,2.53
36,0.420905,513.947259,2.975
37,0.063211,566.557615,4.37
38,0,587.988876,4.505
39,0,610.761457,4.51
40,0,608.149131,3.72
41,0,623.560673,4.425
42,0,642.85512,4.43
43,0,665.502252,4.355
44,0,618.9823,2.87
45,0,584.131166,3.695
46,0,521.064534,3.315
47,0,507.135291,3.265
48,0,515.507045,3.195
1,0,456.995983,3.175
2,0,427.194199,2.58
3,0,398.172314,2.53
4,0,400.95129,2.53
5,0,389.367056,2.53
6,0,399.816427,2.53
7,0,384.333785,2.53
8,0,388.443736,2.58
9,0,389.432403,2.58
10,0,391.954173,2.58
11,0,408.562399,2.58
12,0,402.530183,2.58
13,3.209868,409.90494,2.53
14,24.988664,405.792351,2.53
15,87.774269,459.928123,2.58
16,413.00403,480.087951,2.53
17,190.35255,502.024302,3.11
18,952.382674,472.642467,3.145
19,336.011834,470.472289,3.035
20,956.152048,443.602931,2.99
21,908.015002,400.510872,2.58
22,770.909968,380.475325,2.53
23,309.479483,356.956501,2.53
24,393.29087,372.644718,2.51
25,570.596079,359.840067,2
26,257.319352,366.90748,2
27,137.19282,364.058975,2.15
28,49.348896,382.21323,2.53
29,62.586027,356.236947,3.005
30,52.671317,359.224479,3.065
31,58.987093,367.66891,3.12
32,311.85419,365.534267,3.16
33,73.987441,392.872838,3.3
34,9.721017,402.529709,3.26
35,3.920364,444.715118,2.58
36,0.420905,513.947259,3.175
37,0.063211,566.557615,4.365
38,0,587.988876,4.4
39,0,610.761457,4.365
40,0,608.149131,3.21
41,0,623.560673,3.21
42,0,642.85512,2.87
43,0,665.502252,2.99
44,0,618.9823,2.58
45,0,584.131166,3.2
46,0,521.064534,3.22
47,0,507.135291,3.23
48,0,515.507045,3.175
1,0,305.982337,3.575
2,0,280.626497,3.575
